,STATE_NAME,DISYR,Gender_Type,count
139,CALIFORNIA,2014.0,Male,57064
140,CALIFORNIA,2015.0,-9.0,39
141,CALIFORNIA,2015.0,Female,34545
142,CALIFORNIA,2015.0,Male,56397
143,CALIFORNIA,2016.0,-9.0,42
144,CALIFORNIA,2016.0,Female,33964
145,CALIFORNIA,2016.0,Male,56160
146,CALIFORNIA,2017.0,-9.0,40
147,CALIFORNIA,2017.0,Female,45173
148,CALIFORNIA,2017.0,Male,73131
149,CALIFORNIA,2018.0,-9.0,32
150,CALIFORNIA,2018.0,Female,24783
151,CALIFORNIA,2018.0,Male,41673
152,CALIFORNIA,2019.0,-9.0,81
153,CALIFORNIA,2019.0,Female,29043
154,CALIFORNIA,2019.0,Male,48533
155,COLORADO,2009.0,Female,5139
156,COLORADO,2009.0,Male,10427
157,COLORADO,2010.0,Female,5756
158,COLORADO,2010.0,Male,12002
159,COLORADO,2011.0,Female,5561
160,COLORADO,2011.0,Male,11545
161,COLORADO,2012.0,Female,5933
162,COLORADO,2012.0,Male,12570
163,COLORADO,2013.0,Female,6389
164,COLORADO,2013.0,Male,13095
165,COLORADO,2014.0,Female,6348
166,COLORADO,2014.0,Male,12613
167,COLORADO,2015.0,Female,5299
168,COLORADO,2015.0,Male,9812
169,COLORADO,2016.0,Female,4938
170,COLORADO,2016.0,Male,8886
171,COLORADO,2017.0,Female,6130
172,COLORADO,2017.0,Male,10628
173,COLORADO,2018.0,Female,5778
174,COLORADO,2018.0,Male,10236
175,COLORADO,2019.0,Female,6084
176,COLORADO,2019.0,Male,10476
177,CONNECTICUT,2009.0,-9.0,3
178,CONNECTICUT,2009.0,Female,3301
179,CONNECTICUT,2009.0,Male,8168
180,CONNECTICUT,2010.0,-9.0,5
181,CONNECTICUT,2010.0,Female,3385
182,CONNECTICUT,2010.0,Male,8720
183,CONNECTICUT,2011.0,-9.0,57
184,CONNECTICUT,2011.0,Female,5338
185,CONNECTICUT,2011.0,Male,13423
186,CONNECTICUT,2012.0,-9.0,16
187,CONNECTICUT,2012.0,Female,5413
188,CONNECTICUT,2012.0,Male,13061
189,CONNECTICUT,2013.0,-9.0,28
190,CONNECTICUT,2013.0,Female,6187
191,CONNECTICUT,2013.0,Male,13663
192,CONNECTICUT,2014.0,-9.0,21
193,CONNECTICUT,2014.0,Female,4928
194,CONNECTICUT,2014.0,Male,11165
195,CONNECTICUT,2015.0,-9.0,29
196,CONNECTICUT,2015.0,Female,7467
197,CONNECTICUT,2015.0,Male,16019
198,CONNECTICUT,2016.0,-9.0,39
199,CONNECTICUT,2016.0,Female,7805
200,CONNECTICUT,2016.0,Male,15482
201,CONNECTICUT,2017.0,-9.0,25
202,CONNECTICUT,2017.0,Female,7999
203,CONNECTICUT,2017.0,Male,16069
204,CONNECTICUT,2018.0,-9.0,21
205,CONNECTICUT,2018.0,Female,7726
206,CONNECTICUT,2018.0,Male,15566
207,CONNECTICUT,2019.0,-9.0,30
208,CONNECTICUT,2019.0,Female,8620
209,CONNECTICUT,2019.0,Male,17256
210,DELAWARE,2009.0,Female,958
211,DELAWARE,2009.0,Male,2222
212,DELAWARE,2010.0,Female,828
213,DELAWARE,2010.0,Male,2167
214,DELAWARE,2011.0,-9.0,1
215,DELAWARE,2011.0,Female,798
216,DELAWARE,2011.0,Male,2050
217,DELAWARE,2012.0,-9.0,4
218,DELAWARE,2012.0,Female,1000
219,DELAWARE,2012.0,Male,2285
220,DELAWARE,2013.0,-9.0,2
221,DELAWARE,2013.0,Female,902
222,DELAWARE,2013.0,Male,2041
223,DELAWARE,2014.0,-9.0,13
224,DELAWARE,2014.0,Female,908
225,DELAWARE,2014.0,Male,1835
226,DELAWARE,2015.0,-9.0,6
227,DELAWARE,2015.0,Female,887
228,DELAWARE,2015.0,Male,1908
229,DELAWARE,2016.0,-9.0,9
230,DELAWARE,2016.0,Female,792
231,DELAWARE,2016.0,Male,2023
232,DELAWARE,2017.0,-9.0,11
233,DELAWARE,2017.0,Female,760
234,DELAWARE,2017.0,Male,1710
235,DELAWARE,2018.0,-9.0,3
236,DELAWARE,2018.0,Female,1175
237,DELAWARE,2018.0,Male,2357
238,DELAWARE,2019.0,-9.0,3
239,DELAWARE,2019.0,Female,853
240,DELAWARE,2019.0,Male,1501
241,DISTRICT OF COLUMBIA,2011.0,-9.0,1
242,DISTRICT OF COLUMBIA,2011.0,Female,679
243,DISTRICT OF COLUMBIA,2011.0,Male,1851
244,DISTRICT OF COLUMBIA,2012.0,-9.0,3
245,DISTRICT OF COLUMBIA,2012.0,Female,612
246,DISTRICT OF COLUMBIA,2012.0,Male,1442
247,DISTRICT OF COLUMBIA,2013.0,Female,599
248,DISTRICT OF COLUMBIA,2013.0,Male,1321
249,DISTRICT OF COLUMBIA,2014.0,Female,524
250,DISTRICT OF COLUMBIA,2014.0,Male,1196
251,DISTRICT OF COLUMBIA,2015.0,Female,466
252,DISTRICT OF COLUMBIA,2015.0,Male,950
253,DISTRICT OF COLUMBIA,2016.0,Female,293
254,DISTRICT OF COLUMBIA,2016.0,Male,640
255,DISTRICT OF COLUMBIA,2017.0,Female,383
256,DISTRICT OF COLUMBIA,2017.0,Male,795
257,DISTRICT OF COLUMBIA,2018.0,Female,356
258,DISTRICT OF COLUMBIA,2018.0,Male,697
259,DISTRICT OF COLUMBIA,2019.0,-9.0,3
260,DISTRICT OF COLUMBIA,2019.0,Female,336
261,DISTRICT OF COLUMBIA,2019.0,Male,623
262,FLORIDA,2009.0,Female,7227
263,FLORIDA,2009.0,Male,12992
264,FLORIDA,2010.0,Female,7568
265,FLORIDA,2010.0,Male,13014
