,state,year,discharge_rate,row
112,ILLINOIS ,2016.0,61.20482817171754,224
113,ILLINOIS ,2018.0,45.71146998982706,226
114,INDIANA,2009.0,24.400991462407053,228
115,INDIANA,2010.0,24.856413529036374,230
116,INDIANA,2011.0,25.36676316176831,232
117,INDIANA,2012.0,22.679051346126645,234
118,INDIANA,2013.0,49.725401513753,236
119,INDIANA,2015.0,43.26278065365884,238
120,INDIANA,2017.0,49.806865615849475,240
121,INDIANA,2019.0,52.92693661971831,242
122,IOWA,2009.0,73.98136406241385,244
123,IOWA,2010.0,70.19826517967782,246
124,IOWA,2011.0,70.79846188645102,248
125,IOWA,2012.0,71.77326694752968,250
126,IOWA,2013.0,68.14982973893304,252
127,IOWA,2014.0,76.21269477947003,254
128,IOWA,2016.0,49.198350893266145,256
129,IOWA,2018.0,49.4565560821485,258
130,KENTUCKY,2009.0,32.93146518952971,260
131,KENTUCKY,2010.0,36.877142431318,262
132,KENTUCKY,2011.0,32.58247688770003,264
133,KENTUCKY,2012.0,23.46664353257569,266
134,KENTUCKY,2013.0,21.322665220142845,268
135,KENTUCKY,2014.0,19.921240662552776,270
136,KENTUCKY,2015.0,50.616783369461814,272
137,KENTUCKY,2017.0,58.44372352888168,274
138,KENTUCKY,2019.0,13.749263432316125,276
139,LOUISIANA,2009.0,80.9702269414949,278
140,LOUISIANA,2010.0,77.85321694148077,280
141,LOUISIANA,2011.0,65.50136425648022,282
142,LOUISIANA,2012.0,72.50807854834702,284
143,LOUISIANA,2013.0,82.38795518207283,286
144,LOUISIANA,2014.0,81.76860148032723,288
145,LOUISIANA,2016.0,62.37785016286645,290
146,LOUISIANA,2018.0,46.886624615882255,292
147,MAINE,2009.0,39.036179874029585,294
148,MAINE,2010.0,40.22809745982374,296
149,MAINE,2011.0,41.82692307692308,298
150,MAINE,2012.0,42.897593204341675,300
151,MAINE,2013.0,43.52306182531894,302
152,MAINE,2014.0,45.4134747593793,304
153,MAINE,2015.0,51.38711054204011,306
154,MAINE,2017.0,47.405753316695126,308
155,MAINE,2019.0,84.32248838040758,310
156,MARYLAND,2009.0,63.17947417364105,312
157,MARYLAND,2010.0,67.8927495651436,314
