,DISYR,STATE_NAME,Imp_Year,count
133,2012.0,FLORIDA,Never,4406
134,2012.0,HAWAII ,2014,3699
135,2012.0,IDAHO,Never,3673
136,2012.0,ILLINOIS ,2014,22179
137,2012.0,INDIANA,2015,21209
138,2012.0,IOWA,2014,17679
139,2012.0,KENTUCKY,2014,23054
140,2012.0,LOUISIANA,2016,4947
141,2012.0,MAINE,Never,6357
142,2012.0,MARYLAND,2014,27541
143,2012.0,MASSACHUSETTS,2014,20152
144,2012.0,MICHIGAN ,2014,27700
145,2012.0,MINNESOTA,2014,1410
146,2012.0,MISSOURI,Never,15293
147,2012.0,MONTANA,2016,5209
148,2012.0,NEBRASKA,Never,4367
149,2012.0,NEVADA,2014,5699
150,2012.0,NEW HAMPSHIRE ,2014,2247
151,2012.0,NEW JERSEY,2014,27091
152,2012.0,NEW YORK,2014,135100
153,2012.0,NORTH CAROLINA,Never,48216
154,2012.0,NORTH DAKOTA,2014,555
155,2012.0,OHIO,2014,21382
156,2012.0,OKLAHOMA,Never,8060
157,2012.0,PENNSYLVANIA,2015,41
158,2012.0,RHODE ISLAND,2014,5668
159,2012.0,SOUTH DAKOTA,Never,3595
160,2012.0,TENNESSEE,Never,1862
161,2012.0,TEXAS,Never,13594
162,2012.0,UTAH,Never,7439
163,2012.0,VERMONT,2014,4645
164,2012.0,WISCONSIN,Never,9259
165,2012.0,WYOMING,Never,1923
166,2013.0, KANSAS,Never,5512
167,2013.0,ALABAMA,Never,1311
168,2013.0,ALASKA,2015,3213
169,2013.0,ARIZONA,2014,21304
170,2013.0,ARKANSAS,2014,3554
171,2013.0,CALIFORNIA,2014,91504
172,2013.0,COLORADO,2014,19484
173,2013.0,CONNECTICUT,2014,19878
174,2013.0,DELAWARE,2014,2945
175,2013.0,DISTRICT OF COLUMBIA,2014,1920
176,2013.0,HAWAII ,2014,3608
177,2013.0,IDAHO,Never,3246
178,2013.0,ILLINOIS ,2014,19665
179,2013.0,INDIANA,2015,21787
180,2013.0,IOWA,2014,18730
181,2013.0,KENTUCKY,2014,22122
182,2013.0,LOUISIANA,2016,3420
183,2013.0,MAINE,Never,6114
184,2013.0,MARYLAND,2014,26166
185,2013.0,MASSACHUSETTS,2014,19599
186,2013.0,MICHIGAN ,2014,30052
187,2013.0,MINNESOTA,2014,1781
188,2013.0,MISSOURI,Never,13953
189,2013.0,MONTANA,2016,4836
190,2013.0,NEBRASKA,Never,4000
191,2013.0,NEVADA,2014,5364
192,2013.0,NEW HAMPSHIRE ,2014,2355
193,2013.0,NEW JERSEY,2014,25908
194,2013.0,NEW YORK,2014,133236
195,2013.0,NORTH CAROLINA,Never,36027
196,2013.0,NORTH DAKOTA,2014,527
197,2013.0,OHIO,2014,23465
198,2013.0,OKLAHOMA,Never,8042
199,2013.0,PENNSYLVANIA,2015,13227
200,2013.0,RHODE ISLAND,2014,5199
201,2013.0,SOUTH DAKOTA,Never,3662
202,2013.0,TENNESSEE,Never,1975
203,2013.0,TEXAS,Never,12241
204,2013.0,UTAH,Never,7887
205,2013.0,VERMONT,2014,5798
206,2013.0,WISCONSIN,Never,8896
207,2013.0,WYOMING,Never,2060
208,2014.0,ALABAMA,Never,1799
209,2014.0,ALASKA,2015,3485
210,2014.0,ARIZONA,2014,14068
211,2014.0,ARKANSAS,2014,2392
212,2014.0,CALIFORNIA,2014,90997
213,2014.0,COLORADO,2014,18961
214,2014.0,CONNECTICUT,2014,16114
215,2014.0,DELAWARE,2014,2756
216,2014.0,DISTRICT OF COLUMBIA,2014,1720
217,2014.0,HAWAII ,2014,3324
218,2014.0,IDAHO,Never,4064
219,2014.0,ILLINOIS ,2014,17437
220,2014.0,INDIANA,2015,21549
221,2014.0,IOWA,2014,17412
222,2014.0,KENTUCKY,2014,24632
223,2014.0,LOUISIANA,2016,2821
224,2014.0,MAINE,Never,5091
225,2014.0,MARYLAND,2014,22501
226,2014.0,MASSACHUSETTS,2014,21616
227,2014.0,MICHIGAN ,2014,23008
228,2014.0,MINNESOTA,2014,2032
229,2014.0,MISSOURI,Never,12397
230,2014.0,MONTANA,2016,3546
231,2014.0,NEBRASKA,Never,3251
232,2014.0,NEVADA,2014,4530
233,2014.0,NEW HAMPSHIRE ,2014,2176
234,2014.0,NEW JERSEY,2014,23636
235,2014.0,NEW YORK,2014,130388
236,2014.0,NORTH CAROLINA,Never,35504
237,2014.0,NORTH DAKOTA,2014,536
238,2014.0,OHIO,2014,26027
239,2014.0,OKLAHOMA,Never,9181
240,2014.0,PENNSYLVANIA,2015,13695
241,2014.0,RHODE ISLAND,2014,4677
242,2014.0,SOUTH DAKOTA,Never,3546
243,2014.0,TENNESSEE,Never,1959
244,2014.0,TEXAS,Never,11050
245,2014.0,UTAH,Never,7423
246,2014.0,VERMONT,2014,5989
247,2014.0,WISCONSIN,Never,4526
248,2014.0,WYOMING,Never,2090
249,2015.0, KANSAS,Never,303
250,2015.0,ALABAMA,Never,1790
251,2015.0,ALASKA,2015,3119
252,2015.0,ARIZONA,2014,21399
253,2015.0,ARKANSAS,2014,2241
254,2015.0,CALIFORNIA,2014,90981
255,2015.0,COLORADO,2014,15111
256,2015.0,CONNECTICUT,2014,23515
257,2015.0,DELAWARE,2014,2801
258,2015.0,DISTRICT OF COLUMBIA,2014,1416
259,2015.0,FLORIDA,Never,6729
260,2015.0,HAWAII ,2014,3017
261,2015.0,IDAHO,Never,4693
262,2015.0,ILLINOIS ,2014,14633
263,2015.0,INDIANA,2015,18523
264,2015.0,IOWA,2014,17314
265,2015.0,KENTUCKY,2014,31666
266,2015.0,LOUISIANA,2016,2099
267,2015.0,MAINE,Never,4556
268,2015.0,MARYLAND,2014,14627
269,2015.0,MASSACHUSETTS,2014,12553
270,2015.0,MICHIGAN ,2014,17087
271,2015.0,MINNESOTA,2014,2539
272,2015.0,MISSOURI,Never,12850
273,2015.0,MONTANA,2016,3468
274,2015.0,NEBRASKA,Never,3736
275,2015.0,NEVADA,2014,3505
276,2015.0,NEW HAMPSHIRE ,2014,2308
277,2015.0,NEW JERSEY,2014,25501
278,2015.0,NEW MEXICO ,2014,828
279,2015.0,NEW YORK,2014,129304
280,2015.0,NORTH CAROLINA,Never,23008
281,2015.0,NORTH DAKOTA,2014,605
282,2015.0,OHIO,2014,23738
283,2015.0,OKLAHOMA,Never,8283
284,2015.0,PENNSYLVANIA,2015,7839
285,2015.0,RHODE ISLAND,2014,5282
286,2015.0,SOUTH DAKOTA,Never,3391
287,2015.0,TENNESSEE,Never,1935
288,2015.0,TEXAS,Never,9151
289,2015.0,UTAH,Never,7337
290,2015.0,VERMONT,2014,6071
291,2015.0,WISCONSIN,Never,3929
292,2015.0,WYOMING,Never,1991
293,2016.0, KANSAS,Never,5731
294,2016.0,ALABAMA,Never,1921
295,2016.0,ALASKA,2015,3468
296,2016.0,ARIZONA,2014,20754
297,2016.0,ARKANSAS,2014,3867
298,2016.0,CALIFORNIA,2014,90166
299,2016.0,COLORADO,2014,13824
300,2016.0,CONNECTICUT,2014,23326
301,2016.0,DELAWARE,2014,2824
302,2016.0,DISTRICT OF COLUMBIA,2014,933
303,2016.0,FLORIDA,Never,8118
304,2016.0,HAWAII ,2014,2919
305,2016.0,IDAHO,Never,4036
306,2016.0,ILLINOIS ,2014,10510
307,2016.0,INDIANA,2015,14124
308,2016.0,IOWA,2014,16635
309,2016.0,KENTUCKY,2014,32457
310,2016.0,LOUISIANA,2016,4389
311,2016.0,MAINE,Never,4816
312,2016.0,MARYLAND,2014,16311
313,2016.0,MASSACHUSETTS,2014,11858
314,2016.0,MICHIGAN ,2014,24338
315,2016.0,MINNESOTA,2014,2919
316,2016.0,MISSOURI,Never,11505
317,2016.0,MONTANA,2016,3324
318,2016.0,NEBRASKA,Never,5737
319,2016.0,NEVADA,2014,2578
320,2016.0,NEW HAMPSHIRE ,2014,2453
321,2016.0,NEW JERSEY,2014,27571
322,2016.0,NEW MEXICO ,2014,414
323,2016.0,NEW YORK,2014,125095
324,2016.0,NORTH CAROLINA,Never,38834
325,2016.0,NORTH DAKOTA,2014,30
326,2016.0,OHIO,2014,19244
327,2016.0,OKLAHOMA,Never,9393
328,2016.0,PENNSYLVANIA,2015,9487
329,2016.0,RHODE ISLAND,2014,5512
330,2016.0,SOUTH DAKOTA,Never,4262
331,2016.0,TENNESSEE,Never,1961
332,2016.0,TEXAS,Never,8679
333,2016.0,UTAH,Never,6581
334,2016.0,VERMONT,2014,5424
335,2016.0,WISCONSIN,Never,3325
336,2016.0,WYOMING,Never,1846
337,2017.0, KANSAS,Never,6203
338,2017.0,ALABAMA,Never,3045
339,2017.0,ALASKA,2015,3401
340,2017.0,ARIZONA,2014,28400
341,2017.0,ARKANSAS,2014,3455
342,2017.0,CALIFORNIA,2014,118344
343,2017.0,COLORADO,2014,16758
344,2017.0,CONNECTICUT,2014,24093
345,2017.0,DELAWARE,2014,2481
346,2017.0,DISTRICT OF COLUMBIA,2014,1178
347,2017.0,FLORIDA,Never,4891
348,2017.0,HAWAII ,2014,2810
349,2017.0,IDAHO,Never,4387
350,2017.0,ILLINOIS ,2014,16581
351,2017.0,INDIANA,2015,16113
352,2017.0,IOWA,2014,16110
353,2017.0,KENTUCKY,2014,36892
354,2017.0,LOUISIANA,2016,7277
355,2017.0,MAINE,Never,4004
356,2017.0,MARYLAND,2014,15609
357,2017.0,MASSACHUSETTS,2014,11195
358,2017.0,MICHIGAN ,2014,27949
359,2017.0,MINNESOTA,2014,3105
360,2017.0,MISSOURI,Never,11479
361,2017.0,MONTANA,2016,1928
362,2017.0,NEBRASKA,Never,4494
363,2017.0,NEVADA,2014,2600
364,2017.0,NEW HAMPSHIRE ,2014,2954
365,2017.0,NEW JERSEY,2014,27999
366,2017.0,NEW MEXICO ,2014,301
367,2017.0,NEW YORK,2014,121856
368,2017.0,NORTH CAROLINA,Never,96532
369,2017.0,NORTH DAKOTA,2014,40
370,2017.0,OHIO,2014,17633
371,2017.0,OKLAHOMA,Never,9286
372,2017.0,PENNSYLVANIA,2015,11645
373,2017.0,RHODE ISLAND,2014,5430
